Date,Open,High,Low,Close,Volume
2020-11-30,1400,1515,1385,1490,31256
2020-12-31,1450,1610,1350,1610,254141
2021-01-31,1605,1605,1305,1400,10296
2021-02-28,1505,1505,1375,1450,3040
2021-03-31,1450,1500,1380,1475,18386
2021-04-30,1450,1890,1325,1840,212534
2021-05-31,1830,1985,1715,1985,78339
2021-06-30,1980,2090,1850,2090,67459
2021-07-31,2100,2195,1900,1950,65203
2021-08-31,1940,1995,1800,1910,33838
2021-09-30,1970,2000,1860,1945,76518
2021-10-31,1940,1940,1605,1670,74290
2021-11-30,1795,1860,1700,1700,42361
2021-12-31,1700,1800,1470,1680,46919
2022-01-31,1650,1800,1490,1700,23598
2022-02-28,1700,1750,1515,1590,28508
2022-03-31,1590,1650,1400,1550,154680
2022-04-30,1600,1640,1300,1500,93264
2022-05-31,1495,1495,1150,1390,38070
2022-06-30,1390,1440,1200,1205,57772
2022-07-31,1205,1395,1205,1300,27693
2022-08-31,1300,1340,1250,1275,22339
2022-09-30,1275,1295,1245,1245,22776
2022-10-31,1245,1395,1150,1270,12850
2022-11-30,1350,1395,1150,1195,26330
2022-12-31,1200,1630,1080,1600,89977
2023-01-31,1480,1495,1255,1350,6564
2023-02-28,1325,1325,1080,1195,18587
2023-03-31,1190,1235,1150,1195,108618
2023-04-30,1200,1230,1100,1175,4398
2023-05-31,1100,1200,1090,1185,14866
2023-06-30,1165,1180,1080,1100,16390
2023-07-31,1100,1180,1030,1115,90895
2023-08-31,1115,1175,1080,1115,101731
2023-09-30,1120,1175,1105,1115,34449
2023-10-31,1115,1180,1075,1180,141070
2023-11-30,1250,1850,1180,1745,108407
2023-12-31,1695,2085,1610,1840,199417
2024-01-31,1800,1840,1610,1750,26416
2024-02-29,1740,2000,1650,1985,47444
2024-03-31,1985,1985,1850,1930,22775
2024-04-30,1930,2000,1850,1995,40604
2024-05-31,1995,2000,1275,1350,95109
2024-06-30,1350,1380,1280,1380,63147
2024-07-31,1380,1400,1350,1395,55211
2024-08-31,1390,1555,1375,1490,15459
2024-09-30,1485,1530,1300,1440,54831
2024-10-31,1440,1450,1235,1395,41953
2024-11-30,1425,1800,1350,1800,161605
2024-12-31,1800,1860,1650,1850,108236
2025-01-31,1850,1985,1770,1910,76488
2025-02-28,1880,2440,1880,2400,107261
2025-03-31,2445,3390,2380,3280,205757
2025-04-30,3280,3405,3000,3225,530124
2025-05-31,3220,5645,3000,5645,1120912
2025-06-30,6065,6845,3880,3880,715165
2025-07-31,3590,5350,3590,4990,428062
2025-08-31,4865,4990,4700,4790,108759
2025-09-30,4750,4840,1890,2520,372211
2025-10-31,2600,3380,2405,2405,320170
2025-11-30,2230,2405,1900,2365,56519
