Date,Open,High,Low,Close,Volume
2020-11-30,1070,1070,1020,1025,144261
2020-12-31,1025,1040,995,1010,83584
2021-01-31,1010,1200,990,1145,42509
2021-02-28,1145,1290,1090,1290,29577
2021-03-31,1300,1500,1250,1300,65451
2021-04-30,1260,1300,1180,1260,10073
2021-05-31,1260,1300,1190,1270,17433
2021-06-30,1265,1315,1220,1255,16948
2021-07-31,1255,1445,1200,1375,97692
2021-08-31,1375,1380,1270,1350,14174
2021-09-30,1325,1400,980,980,43276
2021-10-31,970,1230,970,1200,118692
2021-11-30,1150,1230,1065,1200,21337
2021-12-31,1200,1200,1000,1015,25074
2022-01-31,1090,1215,1020,1150,36594
2022-02-28,1200,1300,1150,1280,37023
2022-03-31,1300,1315,1100,1105,27229
2022-04-30,1130,1180,1075,1105,16725
2022-05-31,1120,1180,1000,1005,5917
2022-06-30,1020,1160,955,1120,23363
2022-07-31,1120,1195,1100,1150,32498
2022-08-31,1065,1150,1015,1100,18269
2022-09-30,1100,1290,1050,1085,28402
2022-10-31,1085,1180,1025,1180,87465
2022-11-30,1155,1245,1070,1070,13341
2022-12-31,1100,1200,1000,1170,28757
2023-01-31,1170,1170,1005,1065,10125
2023-02-28,1065,1145,1015,1065,27471
2023-03-31,1065,1195,930,995,14404
2023-04-30,1000,1075,935,1075,10826
2023-05-31,1070,1075,1000,1000,13735
2023-06-30,1060,1100,1005,1020,10586
2023-07-31,1010,1155,1010,1150,9777
2023-08-31,1150,1320,1070,1185,7565
2023-09-30,1190,1190,1165,1165,3749
2023-10-31,1165,1240,1060,1170,33427
2023-11-30,1170,1170,1040,1100,4855
2023-12-31,1100,1110,990,1110,28214
2024-01-31,1115,1115,970,1035,4480
2024-02-29,1035,1115,960,990,5327
2024-03-31,990,1160,970,1140,6054
2024-04-30,1140,1200,970,995,7909
2024-05-31,995,1090,925,980,11187
2024-06-30,980,1065,980,1060,22764
2024-07-31,1060,1075,925,1025,41690
2024-08-31,955,1025,955,980,23793
2024-09-30,980,1050,935,1020,49065
2024-10-31,955,1160,955,1100,53232
2024-11-30,1100,1100,995,1100,13092
2024-12-31,1145,1170,1020,1040,21549
2025-01-31,1040,1115,1000,1100,12046
2025-02-28,1060,1170,1055,1170,10075
2025-03-31,1165,1420,1100,1340,81485
2025-04-30,1340,1400,1230,1380,106614
2025-05-31,1380,1400,1200,1200,78050
2025-06-30,1205,1290,1110,1185,45322
2025-07-31,1185,1200,1120,1200,16425
2025-08-31,1290,1345,1200,1330,25640
2025-09-30,1330,1495,1310,1415,16915
2025-10-31,1495,2260,1415,1850,29228
2025-11-30,1950,2200,1745,2200,17759
