Date,Open,High,Low,Close,Volume
2020-11-30,620,650,600,600,1139
2020-12-31,620,650,575,600,14572
2021-01-31,645,645,600,635,8248
2021-02-28,670,670,570,660,6592
2021-03-31,660,685,630,630,8381
2021-04-30,585,735,585,730,14215
2021-05-31,740,1200,730,1175,20428
2021-06-30,1195,1990,1165,1690,16738
2021-07-31,1690,2095,1650,1700,25571
2021-08-31,1705,1950,1600,1825,16545
2021-09-30,1820,2085,1605,1850,71432
2021-10-31,1820,2225,1815,2100,13743
2021-11-30,2100,2450,2100,2200,46039
2021-12-31,2190,2365,2030,2175,12018
2022-01-31,2190,2200,1960,2200,12622
2022-02-28,2300,2510,2150,2450,19793
2022-03-31,2475,2505,2205,2300,12133
2022-04-30,2295,2380,2175,2295,9940
2022-05-31,2125,2580,1830,2420,14536
2022-06-30,2400,2415,2050,2195,15850
2022-07-31,2195,2385,2130,2365,3272
2022-08-31,2365,2380,1950,2100,22222
2022-09-30,2150,2245,2000,2140,13671
2022-10-31,2200,2250,1970,2150,10013
2022-11-30,2155,2200,1990,2100,4808
2022-12-31,2050,2050,1850,2000,1648
2023-01-31,2000,2000,1800,1910,6802
2023-02-28,1910,2050,1800,1825,21874
2023-03-31,1825,2050,1825,1925,11664
2023-04-30,1925,2000,1850,1900,6360
2023-05-31,1900,1995,1815,1940,3770
2023-06-30,1805,2045,1800,1990,8909
2023-07-31,1950,2200,1905,2150,10054
2023-08-31,2160,2245,1715,1920,21977
2023-09-30,1900,1990,1750,1750,6425
2023-10-31,1840,1995,1690,1690,2189
2023-11-30,1580,1690,1050,1050,10624
2023-12-31,1015,1050,990,1000,16061
2024-01-31,1050,1450,1000,1450,25677
2024-02-29,1395,1450,1090,1120,2791
2024-03-31,1120,1250,1055,1245,3352
2024-04-30,1245,1300,1215,1300,14411
2024-05-31,1300,1300,925,975,12803
2024-06-30,980,1000,925,1000,6353
2024-07-31,1000,1095,940,1090,8478
2024-08-31,1080,1455,985,1355,14464
2024-09-30,1455,1600,1005,1075,8431
2024-10-31,1075,1155,1065,1155,14044
2024-11-30,1140,1200,970,1200,4405
2024-12-31,1200,1200,930,1065,6181
2025-01-31,1090,1090,910,1035,4474
2025-02-28,1000,1120,980,1110,8501
2025-03-31,1055,1110,1000,1060,22873
2025-04-30,1060,1065,865,1020,38143
2025-05-31,955,1235,925,1090,38282
2025-06-30,1145,1225,1060,1200,31367
2025-07-31,1200,1495,1120,1300,31745
2025-08-31,1335,2000,1250,1780,56757
2025-09-30,1795,1795,1385,1660,53695
2025-10-31,1700,2125,1660,1950,121501
2025-11-30,1805,1950,1430,1430,8652
