Date,Open,High,Low,Close,Volume
2020-11-30,885,1230,885,1055,149394
2020-12-31,1050,1100,950,1000,94480
2021-01-31,1000,1100,1000,1050,17256
2021-02-28,1050,1080,945,1035,86555
2021-03-31,1035,1035,950,960,18808
2021-04-30,1000,1035,960,1035,28257
2021-05-31,1035,1440,1020,1345,69178
2021-06-30,1345,1490,1200,1490,104417
2021-07-31,1510,1700,1490,1615,40668
2021-08-31,1615,2000,1520,1895,34780
2021-09-30,1950,2185,1945,2180,156699
2021-10-31,2150,2150,1890,2060,35805
2021-11-30,2050,2185,1930,2125,96530
2021-12-31,2125,2125,1950,2000,158995
2022-01-31,2050,2050,1905,2025,50871
2022-02-28,2025,2095,2005,2070,152450
2022-03-31,2080,2090,1985,2000,67573
2022-04-30,2000,2000,1900,2000,26704
2022-05-31,1850,1850,1310,1420,30155
2022-06-30,1420,1500,1305,1365,19487
2022-07-31,1360,1450,1300,1435,32909
2022-08-31,1435,1435,1255,1295,21483
2022-09-30,1295,1300,1200,1220,38975
2022-10-31,1220,1220,1100,1100,20731
2022-11-30,1100,1100,900,905,65971
2022-12-31,905,905,720,770,134853
2023-01-31,775,850,725,775,38383
2023-02-28,790,800,725,775,71798
2023-03-31,775,790,730,770,68323
2023-04-30,750,770,730,750,14089
2023-05-31,695,695,600,635,29391
2023-06-30,635,890,620,740,151584
2023-07-31,740,780,690,765,27183
2023-08-31,770,850,710,765,35898
2023-09-30,770,825,735,790,24809
2023-10-31,790,805,680,730,75583
2023-11-30,680,730,560,600,77688
2023-12-31,600,620,500,535,76291
2024-01-31,535,590,530,530,24687
2024-02-29,530,570,515,530,83814
2024-03-31,550,590,505,530,36272
2024-04-30,530,545,500,505,37048
2024-05-31,500,505,370,375,77099
2024-06-30,400,420,370,415,73731
2024-07-31,415,450,390,420,66224
2024-08-31,425,435,400,410,49240
2024-09-30,420,430,400,420,97492
2024-10-31,420,505,410,440,71125
2024-11-30,410,440,380,400,53136
2024-12-31,400,420,380,410,36586
2025-01-31,415,420,370,395,32895
2025-02-28,385,415,380,400,69191
2025-03-31,400,420,385,410,110709
2025-04-30,410,420,380,420,65090
2025-05-31,450,745,420,515,170582
2025-06-30,510,620,495,595,147212
2025-07-31,590,600,505,565,96168
2025-08-31,575,875,540,875,278310
2025-09-30,915,1395,805,1270,571379
2025-10-31,1265,1990,1175,1695,677657
2025-11-30,1570,1750,1275,1480,167703
