Date,Open,High,Low,Close,Volume
2024-12-31,5025,5160,4705,4730,103434
2025-01-31,4750,5000,4700,5000,51497
2025-02-28,4995,5000,4705,5000,26058
2025-03-31,5000,5000,4485,4950,33442
2025-04-30,4900,4995,4400,4800,81264
2025-05-31,4710,4800,4400,4800,15813
2025-06-30,4500,4800,4435,4780,69336
2025-07-31,4780,4780,4100,4600,29242
2025-08-31,4255,4700,4105,4435,16959
2025-09-30,4435,4435,3725,3725,89688
2025-10-31,3475,4070,3465,3850,71270
2025-11-30,3800,4025,3600,3800,42944
2025-12-31,3750,4520,3650,4295,51776
2026-01-31,3995,4295,3800,4000,6669
