Date,Open,High,Low,Close,Volume
2020-10-31,1310,1350,1310,1350,247
2020-11-30,1350,1500,1320,1390,10207
2020-12-31,1340,1400,1300,1400,7180
2021-01-31,1400,1495,1300,1495,13193
2021-02-28,1495,1960,1495,1850,15910
2021-03-31,1845,2520,1845,2100,8263
2021-04-30,2100,2685,1900,2545,13026
2021-05-31,2600,2600,2035,2550,10410
2021-06-30,2600,2730,2600,2630,9299
2021-07-31,2640,3500,2610,3500,6088
2021-08-31,3445,3800,3445,3700,7048
2021-09-30,3700,4835,3700,4835,170802
2021-10-31,5195,5995,5000,5270,23266
2021-11-30,5400,5550,4820,5250,94053
2021-12-31,5200,5370,4865,5195,32902
2022-01-31,4875,5205,4810,5200,8109
2022-02-28,5200,5205,4720,5095,69293
2022-03-31,5095,5500,5000,5285,59999
2022-04-30,5285,5480,5105,5310,15860
2022-05-31,5310,6350,5310,5900,30604
2022-06-30,5900,6375,5500,6200,53956
2022-07-31,6200,6345,5900,6245,38031
2022-08-31,6240,6245,5460,5850,36310
2022-09-30,5800,5900,5100,5800,69349
2022-10-31,5900,5900,4575,5420,24126
2022-11-30,5395,5420,4810,5200,45404
2022-12-31,5300,5550,4860,4995,26364
2023-01-31,4995,5540,4450,5540,10675
2023-02-28,5400,5450,5000,5000,36811
2023-03-31,5000,5350,4815,5090,76118
2023-04-30,4995,5000,4305,4340,21569
2023-05-31,4300,4595,3420,3420,28222
2023-06-30,3410,3450,2900,3200,64871
2023-07-31,3200,3260,2600,3200,45516
2023-08-31,3300,3410,2975,3050,42029
2023-09-30,3050,3485,2700,2700,62937
2023-10-31,2700,2800,2450,2500,22688
2023-11-30,2450,2500,1980,2000,40928
2023-12-31,2000,2350,1800,2350,30764
2024-01-31,2320,2500,2040,2250,31156
2024-02-29,2285,2285,2065,2235,20053
2024-03-31,2235,2580,2070,2580,33039
2024-04-30,2580,2580,2005,2575,83654
2024-05-31,2575,2575,2020,2395,42210
2024-06-30,2395,2800,2220,2800,52142
2024-07-31,2800,3035,2750,2810,45114
2024-08-31,2820,3305,2800,3280,41095
2024-09-30,3120,3500,3120,3475,21990
2024-10-31,3500,4300,3300,4255,62101
2024-11-30,4565,4570,4000,4195,73511
2024-12-31,4190,4300,4080,4140,26469
2025-01-31,4140,4190,3705,3740,46312
2025-02-28,3740,4400,3700,4375,78932
2025-03-31,4395,4900,4345,4695,53752
2025-04-30,4695,5790,3920,5435,74453
2025-05-31,5455,6305,5305,6195,58592
2025-06-30,6000,7300,5950,7195,62141
2025-07-31,7000,7195,6110,6500,287193
2025-08-31,6500,6990,6200,6890,65934
2025-09-30,6880,8180,6760,7410,85983
2025-10-31,7890,8585,7410,8145,154599
