Date,Open,High,Low,Close,Volume
2025-01-06,99.99,100.14,99.95,99.95,0
2025-01-13,100.57,100.61,98.27,100.61,0
2025-01-20,98.48,100.89,98.48,99.93,0
2025-01-27,99.93,102.4,99.93,102.4,0
2025-02-03,103.36,103.36,102.1,102.2,0
2025-02-10,102.78,103.83,102.29,102.29,0
2025-02-17,102.79,103.66,102.47,102.47,0
2025-02-24,102.56,106.36,102.56,105.31,0
2025-03-03,103.13,103.88,103.13,103.62,0
2025-03-10,101.82,101.82,100.33,100.33,0
2025-03-17,99.9,99.9,98.8,99.0,0
2025-03-24,98.07,98.07,90.0,91.17,0
2025-03-31,91.06,93.84,91.06,93.84,0
2025-04-07,95.36,96.19,95.11,95.66,0
2025-04-14,95.36,97.47,93.84,93.97,0
2025-04-21,93.67,94.99,90.4,90.4,0
2025-04-28,92.83,93.62,92.43,92.43,0
2025-05-05,94.04,96.06,94.04,95.87,0
2025-05-12,97.59,99.53,97.59,99.53,0
2025-05-19,99.54,99.63,99.31,99.31,0
2025-05-26,98.84,99.17,96.69,96.69,0
2025-06-02,97.25,97.34,97.11,97.32,0
2025-06-09,97.27,97.27,96.62,96.62,0
2025-06-16,97.22,97.84,96.33,96.33,0
2025-06-23,97.59,98.35,97.23,97.23,0
2025-06-30,97.44,98.19,96.01,97.63,0
2025-07-07,95.5,95.56,93.84,94.66,0
2025-07-14,93.85,94.16,92.48,92.48,0
2025-07-21,94.01,96.03,93.29,93.29,0
2025-07-28,93.83,93.83,92.17,92.17,0
2025-08-04,92.52,92.57,92.05,92.36,0
2025-08-11,91.54,92.11,91.54,92.02,0
2025-08-18,92.01,93.32,92.01,93.19,0
2025-08-25,93.71,93.83,92.94,93.22,0
2025-09-01,94.79,94.79,93.87,94.42,0
2025-09-08,94.34,94.71,94.34,94.44,0
2025-09-15,94.26,94.64,93.9,94.45,0
2025-09-22,94.94,95.9,94.94,94.99,0
2025-09-29,95.06,95.39,94.64,94.68,0
2025-10-06,94.91,96.62,94.48,96.62,0
2025-10-13,95.99,96.32,95.39,95.39,0
2025-10-20,94.77,97.25,94.77,97.25,0
2025-10-27,97.09,97.69,96.72,97.27,0
2025-11-03,96.38,96.38,95.22,95.22,0
2025-11-10,95.17,95.7,94.24,94.24,0
2025-11-17,94.93,94.93,93.87,94.29,0
2025-11-24,93.35,95.12,93.35,93.91,0
2025-12-01,94.7,98.8,94.7,98.8,0
2025-12-08,96.8,97.25,96.77,96.77,0
2025-12-15,96.89,96.95,95.41,95.43,0
2025-12-22,94.63,94.97,92.92,93.7,0
2025-12-29,93.48,93.58,93.02,93.02,0
2026-01-05,91.74,94.9,91.74,92.06,0
2026-01-12,93.5,93.52,92.94,92.94,0
2026-01-19,92.78,92.78,92.78,92.78,0
